Age,Months as a Customer,Number of Products,RFM Score,Average Balance Feed Index,Number of Transactions,Personal Debt to Equity Ratio,Months Current Account,Number of Loan Accounts,Customer ID,Has Bad Payment Record,Members Within Household,Number of Call Center Contacts,Gender,Marital Status,Age Youngest Child,Number of Workers in Household,Percentage White Collar Workers,Household Debt to Equity Ratio,Income,Weeks Since Last Offer,Homeowner,Accepted Personal Loan,Accepted Retention,Accepted Home Equity Loan,Accepted Credit Card,Annual value,Interested in Personal Loan,Interested in Retention,Interested in Home Equity Loan,Interested in Credit Card
40,24.000000,3,9.828990,229,2,40,13,0,5409,0,5,9,"F","S",11,6,37,56,37073.000000,17,"F","F","F","F","F",90,"F","F","F","F"
47,12.000000,2,11.807990,8,1,47,5,2,5477,0,4,9,"M","M",13,13,30,56,50721.000000,22,"F","F","F","F","F",260,"F","F","F","F"
35,36.000000,0,0.000000,0,0,35,31,0,5507,0,4,0,"F","U",1,9,33,57,43578.000000,27,"T","F","F","T","T",0,"F","F","T","F"
45,0.000000,0,0.000000,0,0,45,-3,0,8,0,1,11,"M","U",15,7,30,62,69553.000000,51,"F","F","F","F","F",0,"F","T","F","F"
13,48.000000,0,0.000000,0,0,13,39,0,158,0,6,11,"F","S",0,7,27,64,37502.000000,8,"T","F","F","F","F",0,"F","F","T","F"
45,12.000000,2,11.819000,119,1,45,6,3,173,0,5,9,"F","S",14,10,28,60,34722.000000,32,"F","T","F","F","F",360,"F","T","F","F"
40,12.000000,0,0.000000,0,0,40,5,0,5408,0,4,7,"M","U",7,10,40,48,56607.000000,16,"F","F","F","F","F",0,"F","F","T","F"
36,36.000000,0,0.000000,0,0,36,28,0,5579,0,1,8,"F","S",7,4,36,58,55328.000000,21,"F","F","F","T","F",0,"F","F","F","F"
26,12.000000,1,7.879000,179,1,26,8,0,5695,0,5,10,"M","S",0,15,31,52,42752.000000,34,"F","F","F","F","F",30,"F","F","F","T"
33,36.000000,2,9.919990,120,1,33,25,1,5732,0,5,9,"M","S",2,12,29,57,71450.000000,46,"T","F","F","F","F",160,"F","F","T","F"
64,24.000000,0,0.000000,0,0,64,14,0,5747,0,7,0,"F","S",31,14,23,62,61260.000000,48,"T","F","F","F","F",0,"F","F","F","F"
43,12.000000,2,12.719000,219,1,43,7,1,5832,0,3,8,"F","M",14,12,42,44,59133.000000,32,"F","F","F","F","F",160,"F","F","F","F"
37,12.000000,0,0.000000,0,0,37,6,3,5803,0,5,10,"M","U",10,16,37,45,33549.000000,14,"F","T","F","F","F",300,"F","F","F","F"
35,24.000000,4,10.745667,279,1,35,19,0,5833,0,3,8,"F","U",6,14,44,40,56458.000000,28,"F","F","F","F","F",120,"F","F","F","F"
59,12.000000,3,7.584000,84,1,59,8,0,5960,0,4,11,"F","M",29,10,24,65,36927.000000,46,"F","F","T","T","F",90,"F","F","F","F"
15,36.000000,2,9.772333,139,1,15,26,0,323,0,3,11,"F","S",0,7,27,64,37502.000000,49,"F","F","F","F","T",60,"F","F","T","F"
52,24.000000,0,0.000000,0,0,52,12,3,442,0,6,10,"F","M",21,11,36,51,43484.000000,41,"F","F","F","F","F",300,"F","T","F","F"
41,24.000000,2,11.819990,120,1,41,20,0,6101,0,3,11,"F","S",7,4,36,58,55328.000000,30,"F","T","T","T","T",60,"F","F","F","F"
78,0.000000,0,0.000000,0,0,78,-5,0,6331,0,3,9,"M","U",49,7,31,61,62274.000000,9,"T","F","F","F","T",0,"F","F","F","F"
37,24.000000,0,0.000000,0,0,37,16,0,6366,0,3,10,"F","U",6,14,44,40,56458.000000,12,"T","F","F","F","F",0,"F","F","F","F"
58,12.000000,0,0.000000,0,0,58,5,0,539,0,7,8,"M","S",31,11,26,61,42991.000000,43,"F","F","F","F","F",0,"F","F","F","T"
48,36.000000,5,12.762313,229,3,48,33,0,6337,0,5,11,"F","U",23,12,43,44,54415.000000,5,"F","F","F","F","F",150,"F","F","F","F"
32,24.000000,0,0.000000,0,0,32,13,4,742,0,2,10,"M","S",0,15,34,50,26710.000000,49,"F","F","T","F","F",400,"F","F","F","T"
49,0.000000,0,0.000000,0,0,49,-2,5,959,0,4,5,"F","S",22,10,32,56,64222.000000,42,"F","F","F","F","F",500,"F","F","F","F"
52,36.000000,4,7.865667,699,1,52,27,1,6882,0,6,10,"F","M",22,8,46,45,25176.000000,31,"T","F","F","F","F",220,"F","T","F","F"
20,12.000000,0,0.000000,0,0,20,5,0,6946,0,5,7,"F","S",0,7,33,58,65263.000000,33,"F","T","F","F","T",0,"F","F","T","F"
42,0.000000,0,0.000000,0,0,42,-4,4,7068,0,3,9,"M","U",10,10,24,65,59379.000000,50,"F","F","F","F","F",400,"F","F","T","F"
28,24.000000,2,8.853990,154,2,28,17,1,7100,0,2,6,"F","S",0,10,36,52,43935.000000,25,"F","F","F","F","F",160,"F","F","F","F"
28,24.000000,0,0.000000,0,0,28,12,2,7186,0,4,0,"M","S",0,14,29,55,69766.000000,9,"T","F","F","F","F",200,"T","F","F","F"
41,36.000000,0,0.000000,0,0,41,24,1,7266,0,1,0,"F","M",13,7,39,52,30933.000000,10,"F","F","F","F","F",100,"F","F","F","F"
28,0.000000,0,0.000000,0,0,28,-1,0,6989,0,1,0,"M","S",0,18,18,63,52174.000000,35,"F","F","F","F","T",0,"F","F","F","F"
