Age,Months as a Customer,Number of Products,RFM Score,Average Balance Feed Index,Number of Transactions,Personal Debt to Equity Ratio,Months Current Account,Number of Loan Accounts,Customer ID,Members Within Household,Number of Call Center Contacts,Gender,Marital Status,Age Youngest Child,Number of Workers in Household,Percentage White Collar Workers,Household Debt to Equity Ratio,Income,Campaign ID,Response
40,24.000000,3,13.145667,179,1,40,12,5,58986,4,9,"F","M",12,12,30,57,54047.000000,4,0
40,24.000000,3,13.145667,179,1,40,12,5,58986,4,9,"F","M",12,12,30,57,54047.000000,3,0
36,36.000000,0,0.000000,0,0,36,35,0,435,5,10,"M","S",8,9,22,67,36405.000000,2,0
37,24.000000,3,7.625667,59,1,37,16,0,1025,6,11,"M","S",8,9,22,67,36405.000000,2,0
35,48.000000,3,9.909647,43,2,35,39,0,2864,6,10,"M","S",8,9,22,67,36405.000000,2,0
35,0.000000,0,0.000000,0,0,35,-6,0,1838,1,0,"M","S",8,9,22,67,36405.000000,2,0
38,24.000000,3,9.906823,274,3,38,22,0,3309,1,11,"M","S",8,9,22,67,36405.000000,1,0
38,36.000000,0,0.000000,0,0,38,30,0,10466,4,10,"M","S",8,9,22,67,36405.000000,2,0
37,36.000000,4,9.400263,67,3,37,26,0,135063,4,9,"M","S",8,9,22,67,36405.000000,2,0
38,24.000000,1,9.658323,25,1,38,21,0,138792,4,9,"M","S",8,9,22,67,36405.000000,2,0
40,36.000000,0,0.000000,0,0,40,35,0,138981,4,9,"M","S",8,9,22,67,36405.000000,2,0
39,24.000000,0,0.000000,0,0,39,18,0,138863,4,9,"M","S",8,9,22,67,36405.000000,2,0
36,48.000000,3,8.648000,148,2,36,41,0,127967,6,0,"M","S",8,9,22,67,36405.000000,3,0
36,24.000000,2,9.498000,1198,2,36,17,0,133327,4,9,"M","S",8,9,22,67,36405.000000,3,0
36,24.000000,2,9.498000,1198,2,36,17,0,133327,4,9,"M","S",8,9,22,67,36405.000000,2,0
36,36.000000,0,0.000000,0,0,36,28,0,134350,4,9,"M","S",8,9,22,67,36405.000000,3,0
36,36.000000,0,0.000000,0,0,36,28,0,134350,4,9,"M","S",8,9,22,67,36405.000000,2,0
42,24.000000,4,8.622323,89,2,42,22,0,123601,3,10,"M","S",8,9,22,67,36405.000000,2,0
37,48.000000,3,13.023313,90,2,37,38,0,122085,2,10,"M","S",8,9,22,67,36405.000000,2,0
40,12.000000,0,0.000000,0,0,40,7,0,118894,5,11,"M","S",8,9,22,67,36405.000000,2,0
40,12.000000,0,0.000000,0,0,40,7,0,118894,5,11,"M","S",8,9,22,67,36405.000000,3,0
40,24.000000,16,17.999763,467,11,40,22,0,129076,1,10,"M","S",8,9,22,67,36405.000000,1,0
40,24.000000,16,17.999763,467,11,40,22,0,129076,1,10,"M","S",8,9,22,67,36405.000000,3,0
34,12.000000,3,11.127313,194,3,34,6,0,128865,1,10,"M","S",8,9,22,67,36405.000000,2,0
37,24.000000,0,0.000000,0,0,37,23,0,115180,1,9,"M","S",8,9,22,67,36405.000000,2,0
39,24.000000,0,0.000000,0,0,39,12,0,120930,2,10,"M","S",8,9,22,67,36405.000000,3,0
39,24.000000,0,0.000000,0,0,39,12,0,120930,2,10,"M","S",8,9,22,67,36405.000000,2,0
35,24.000000,2,9.849000,49,1,35,22,0,125086,4,6,"M","S",8,9,22,67,36405.000000,4,0
35,24.000000,2,9.849000,49,1,35,22,0,125086,4,6,"M","S",8,9,22,67,36405.000000,3,0
39,36.000000,0,0.000000,0,0,39,33,0,124996,4,6,"M","S",8,9,22,67,36405.000000,2,0
37,36.000000,0,0.000000,0,0,37,28,0,109680,1,9,"M","S",8,9,22,67,36405.000000,2,0
39,0.000000,1,0.000000,0,0,39,-1,0,109766,2,9,"M","S",8,9,22,67,36405.000000,2,0
39,0.000000,1,0.000000,0,0,39,-1,0,109766,2,9,"M","S",8,9,22,67,36405.000000,3,0
40,24.000000,1,11.812333,79,1,40,22,0,106508,1,11,"M","S",8,9,22,67,36405.000000,1,0
37,24.000000,0,0.000000,0,0,37,23,0,115180,1,9,"M","S",8,9,22,67,36405.000000,3,0
35,36.000000,3,10.199000,299,1,35,29,0,114368,5,0,"M","S",8,9,22,67,36405.000000,4,0
35,36.000000,3,10.199000,299,1,35,29,0,114368,5,0,"M","S",8,9,22,67,36405.000000,3,0
39,0.000000,0,0.000000,0,0,39,-6,0,106686,4,9,"M","S",8,9,22,67,36405.000000,2,0
36,24.000000,4,13.320980,221,3,36,19,0,120524,5,0,"M","S",8,9,22,67,36405.000000,2,0
43,24.000000,0,0.000000,0,0,43,17,1,6551,2,10,"M","S",15,4,34,60,45081.000000,2,0
45,24.000000,3,11.208990,309,2,45,16,1,7469,1,9,"M","S",15,4,34,60,45081.000000,2,0
49,48.000000,0,0.000000,0,0,49,41,1,22422,2,10,"M","S",15,4,34,60,45081.000000,2,0
49,48.000000,0,0.000000,0,0,49,41,1,22422,2,10,"M","S",15,4,34,60,45081.000000,3,0
42,0.000000,0,0.000000,0,0,42,-5,1,23950,1,9,"M","S",15,4,34,60,45081.000000,2,0
45,0.000000,0,0.000000,0,0,45,-3,1,130164,3,10,"M","S",15,4,34,60,45081.000000,3,0
43,48.000000,4,10.685667,219,1,43,40,1,132547,4,9,"M","S",15,4,34,60,45081.000000,1,0
42,24.000000,0,0.000000,0,0,42,13,1,137178,4,9,"M","S",15,4,34,60,45081.000000,2,0
45,24.000000,21,12.915667,349,1,45,14,1,105365,1,7,"M","S",15,4,34,60,45081.000000,3,0
45,24.000000,21,12.915667,349,1,45,14,1,105365,1,7,"M","S",15,4,34,60,45081.000000,2,0
48,24.000000,27,31.738092,505,25,48,14,1,126107,4,7,"M","S",15,4,34,60,45081.000000,2,0
42,36.000000,2,9.085323,152,2,42,25,1,122970,5,11,"M","S",15,4,34,60,45081.000000,2,0
41,12.000000,0,0.000000,0,0,41,10,1,126980,5,9,"M","S",15,4,34,60,45081.000000,2,0
45,0.000000,0,0.000000,0,0,45,-3,1,130164,3,10,"M","S",15,4,34,60,45081.000000,2,0
42,24.000000,2,7.519000,119,1,42,22,1,102148,5,11,"M","S",15,4,34,60,45081.000000,3,0
42,24.000000,2,7.519000,119,1,42,22,1,102148,5,11,"M","S",15,4,34,60,45081.000000,4,0
45,24.000000,5,8.920657,154,2,45,12,1,105049,1,9,"M","S",15,4,34,60,45081.000000,1,0
43,24.000000,34,12.699000,1099,1,43,22,1,109922,1,0,"M","S",15,4,34,60,45081.000000,4,0
43,24.000000,34,12.699000,1099,1,43,22,1,109922,1,0,"M","S",15,4,34,60,45081.000000,2,1
45,24.000000,21,12.915667,349,1,45,14,1,105365,1,7,"M","S",15,4,34,60,45081.000000,4,1
48,48.000000,30,14.884607,618,8,48,41,1,94656,4,10,"M","S",15,4,34,60,45081.000000,2,0
42,0.000000,0,0.000000,0,0,42,-3,1,88956,5,10,"M","S",15,4,34,60,45081.000000,2,0
42,0.000000,0,0.000000,0,0,42,-3,1,88956,5,10,"M","S",15,4,34,60,45081.000000,3,0
44,24.000000,3,10.432333,199,1,44,12,1,97158,4,8,"M","S",15,4,34,60,45081.000000,4,0
44,24.000000,3,10.432333,199,1,44,12,1,97158,4,8,"M","S",15,4,34,60,45081.000000,3,0
44,12.000000,0,0.000000,0,0,44,11,1,108092,5,8,"M","S",15,4,34,60,45081.000000,2,0
46,24.000000,3,9.845667,179,1,46,22,1,90686,4,9,"M","S",15,4,34,60,45081.000000,4,0
48,12.000000,0,0.000000,0,0,48,10,1,96273,3,8,"M","S",15,4,34,60,45081.000000,2,0
41,48.000000,2,11.593323,60,1,41,40,1,83844,3,7,"M","S",15,4,34,60,45081.000000,1,0
48,48.000000,30,14.884607,618,8,48,41,1,94656,4,10,"M","S",15,4,34,60,45081.000000,1,0
44,36.000000,49,35.611061,378,29,44,31,1,46356,1,11,"M","S",15,4,34,60,45081.000000,2,1
39,12.000000,2,8.459157,93,2,39,5,1,68368,4,9,"M","S",15,4,34,60,45081.000000,3,0
39,12.000000,2,8.459157,93,2,39,5,1,68368,4,9,"M","S",15,4,34,60,45081.000000,2,0
45,12.000000,0,0.000000,0,0,45,10,1,40571,4,7,"M","S",15,4,34,60,45081.000000,2,0
42,48.000000,5,14.600950,401,5,42,40,1,40795,4,8,"M","S",15,4,34,60,45081.000000,3,0
44,24.000000,0,0.000000,0,0,44,17,0,13,1,0,"M","S",12,13,21,64,38433.000000,2,0
43,48.000000,0,0.000000,0,0,43,40,0,1301,3,9,"M","S",12,13,21,64,38433.000000,2,0
40,12.000000,1,7.915667,449,1,40,8,0,2019,5,9,"M","S",12,13,21,64,38433.000000,2,0
42,24.000000,6,12.399480,700,5,42,22,0,5038,3,11,"M","S",12,13,21,64,38433.000000,3,0
45,24.000000,0,0.000000,0,0,45,21,0,139235,4,9,"M","S",12,13,21,64,38433.000000,2,0
38,36.000000,13,16.729557,463,8,38,30,0,132038,4,9,"M","S",12,13,21,64,38433.000000,2,0
42,48.000000,0,0.000000,0,0,42,39,0,138199,4,9,"M","S",12,13,21,64,38433.000000,2,0
39,24.000000,5,12.564930,65,3,39,14,0,131499,4,9,"M","S",12,13,21,64,38433.000000,2,0
39,24.000000,5,12.564930,65,3,39,14,0,131499,4,9,"M","S",12,13,21,64,38433.000000,3,0
41,12.000000,3,8.489000,89,1,41,7,0,137192,4,9,"M","S",12,13,21,64,38433.000000,2,0
