claim_id,customer_id,age,gender,incident_cause,days_to_incident,claim_area,police_report,claim_type,claim_amount,total_policy_claims
28015402,54800078,68,Female,Crime,1464,Home,No,Material only,2484,5
86926208,95328288,22,Female,Other causes,360,Auto,Yes,Material and injury,24170,1
14338044,05555352,64,Male,Other driver error,7923,Auto,No,Material and injury,28080,1
58917605,28053392,66,Female,Natural causes,9002,Auto,No,Material only,1490,1
24253422,93064729,77,Female,Other causes,2275,Home,No,Material only,1334,1
81081567,17327539,39,Female,Other causes,1118,Auto,Unknown,Material only,2970,1
65416119,24086991,76,Female,Driver error,13081,Auto,No,Material only,1750,1
78456517,40950341,76,Male,Other driver error,5866,Auto,No,Material only,2440,3
00456118,22329968,55,Male,Other driver error,3428,Auto,Yes,Material and injury,29170,1
49161591,14302229,33,Female,Natural causes,1346,Auto,No,Material only,3036,1
90360377,66420655,54,Male,Natural causes,1446,Auto,No,Material only,2420,1
97161487,70620240,22,Male,Other driver error,8,Auto,Yes,Injury only,25360,4
06001575,71115799,40,Female,Other causes,621,Auto,No,Material only,2060,1
82875291,29963623,74,Male,Other driver error,10327,Auto,No,Material only,1874.5,1
01975759,53419245,73,Female,Other causes,8546,Auto,No,Material and injury,19220,1
52676096,52828606,67,Male,Driver error,3782,Auto,No,Material only,2240,1
89295359,65337622,49,Female,Other driver error,4974,Auto,Unknown,Injury only,23440,1
49708874,25430017,55,Male,Other causes,8630,Auto,No,Material and injury,22140,1
00506917,50160433,72,Female,Natural causes,7199,Auto,Unknown,Material only,2860,2
01737487,53378300,42,Male,Other driver error,388,Auto,Unknown,Material only,1817,4
92562630,05376495,72,Female,Natural causes,8237,Auto,No,Material and injury,31150,1
33971290,58935729,57,Male,Other causes,10723,Auto,Yes,Material and injury,39860,1
79168864,49296192,42,Male,Driver error,1989,Auto,No,Material only,2280,1
90352660,90066017,21,Female,Natural causes,3,Auto,Unknown,Injury only,36770,1
66286525,36882366,50,Male,Driver error,3442,Auto,No,Material only,2990,1
71634831,25852762,60,Male,Other causes,3832,Auto,No,Material only,1860,3
17001019,39095425,70,Female,Other causes,4928,Auto,No,Material only,2010,1
13251820,41258816,76,Female,Other causes,3440,Auto,No,Material and injury,33097,1
18032157,21848615,28,Male,Other causes,1434,Auto,No,Material only,2120,1
91340659,53306402,57,Male,Other causes,3716,Home,No,Material only,1870,1
92352474,36322294,51,Female,Crime,5577,Auto,Yes,Material only,1640,3
09694310,36396357,21,Male,Other causes,5,Auto,Unknown,Material only,1600,1
93226946,59114950,70,Male,Natural causes,6791,Auto,No,Material only,1040,1
68186325,61386837,26,Male,Crime,343,Home,No,Material only,1520,1
29409264,94696944,41,Female,Other causes,2018,Auto,Yes,Injury only,18210,1
96764357,42096031,35,Male,Driver error,1818,Auto,No,Material only,2360,1
96390033,45740736,52,Male,Natural causes,946,Auto,Yes,Material and injury,17830,1
51854489,86805301,20,Male,Driver error,2,Auto,No,Material only,1437.5,1
37106547,25823247,40,Female,Other driver error,2377,Auto,No,Injury only,16157.5,4
35254345,99095020,19,Male,Other causes,6,Auto,No,Injury only,38970,5
39203644,31764936,66,Male,Other causes,4433,Auto,Unknown,Material only,2817.5,1
59777328,38422949,61,Female,Other causes,3501,Auto,No,Injury only,29474.5,3
28355155,67584085,41,Female,Driver error,4006,Auto,No,Material and injury,41216,3
34078665,41700611,62,Male,Driver error,9664,Auto,Unknown,Material and injury,27460,1
