Company,StoreID,SKU,StockRequested
Company1,CO1-73,BR1/185/60R14,7
Company1,CO1-73,BR1/205/60R15,3
Company1,CO1-73,BR1/205/60R16,7
Company1,CO1-73,BR2/185/60R15,25
Company1,CO1-73,BR2/185/65R14,11
Company1,CO1-73,BR2/195/60R15,16
Company1,CO1-73,BR2/195/60R16,9
Company1,CO1-73,BR3/185/60R13,8
Company1,CO1-73,BR3/185/60R15,14
Company1,CO1-73,BR3/195/60R16,15
Company1,CO1-73,BR3/205/60R16,12
Company1,CO1-73,BR4/185/60R14,9
Company1,CO1-73,BR4/185/60R15,15
Company1,CO1-73,BR4/195/60R14,7
Company1,CO1-73,BR4/195/60R16,16
Company1,CO1-53,BR1/185/60R13,7
Company1,CO1-53,BR1/185/60R14,6
Company1,CO1-53,BR1/195/60R15,9
Company1,CO1-53,BR1/195/60R16,7
Company1,CO1-53,BR1/205/60R15,5
Company1,CO1-53,BR2/185/60R14,16
Company1,CO1-53,BR2/185/60R15,16
Company1,CO1-53,BR2/195/60R14,20
Company1,CO1-53,BR2/205/60R16,14
Company1,CO1-53,BR3/185/60R14,14
Company1,CO1-53,BR3/185/60R15,13
Company1,CO1-53,BR3/195/60R14,11
Company1,CO1-53,BR3/195/60R16,6
Company1,CO1-53,BR3/205/60R15,13
Company1,CO1-53,BR4/185/60R14,11
Company1,CO1-53,BR4/185/60R15,9
Company1,CO1-53,BR4/185/65R14,11
Company1,CO1-53,BR4/195/60R15,12
Company1,CO1-29,BR1/185/60R15,9
Company1,CO1-29,BR2/185/60R15,16
Company1,CO1-29,BR2/195/60R14,22
Company1,CO1-29,BR2/205/60R16,12
Company1,CO1-29,BR3/185/60R15,17
Company1,CO1-29,BR3/185/65R14,17
Company1,CO1-29,BR3/195/60R16,15
Company1,CO1-29,BR3/205/60R16,15
Company1,CO1-29,BR4/185/60R14,8
Company1,CO1-29,BR4/185/65R14,12
Company1,CO1-29,BR4/195/60R14,13
Company1,CO1-29,BR4/195/60R15,16
Company1,CO1-29,BR4/205/60R16,11
Company1,CO1-17,BR1/185/60R14,5
Company1,CO1-17,BR1/185/65R14,7
Company1,CO1-17,BR1/195/60R14,7
Company1,CO1-17,BR2/185/60R14,24
Company1,CO1-17,BR2/185/65R14,20
Company1,CO1-17,BR2/195/60R16,24
Company1,CO1-17,BR2/205/60R15,12
Company1,CO1-17,BR3/185/60R13,13
Company1,CO1-17,BR3/185/60R14,17
Company1,CO1-17,BR3/185/60R15,6
Company1,CO1-17,BR3/185/65R14,11
Company1,CO1-17,BR3/195/60R14,8
Company1,CO1-17,BR3/195/60R15,14
Company1,CO1-17,BR4/185/60R15,7
Company1,CO1-17,BR4/205/60R15,16
Company1,CO1-17,BR4/205/60R16,5
