Brand,Length,Width,Height,SKU,BrandCategory,BrandPremium,Value,Stock
Brand1,185,60,13,BR1/185/60R13,PREMIUM,2.000000,90.000000,108
Brand1,185,60,14,BR1/185/60R14,PREMIUM,2.000000,93.000000,95
Brand1,185,60,15,BR1/185/60R15,PREMIUM,2.000000,96.000000,155
Brand1,185,65,14,BR1/185/65R14,PREMIUM,2.000000,95.000000,123
Brand1,195,60,14,BR1/195/60R14,PREMIUM,2.000000,111.000000,175
Brand1,195,60,15,BR1/195/60R15,PREMIUM,2.000000,114.000000,163
Brand1,195,60,16,BR1/195/60R16,PREMIUM,2.000000,117.000000,100
Brand1,205,60,15,BR1/205/60R15,PREMIUM,2.000000,132.000000,177
Brand1,205,60,16,BR1/205/60R16,PREMIUM,2.000000,135.000000,96
Brand2,185,60,13,BR2/185/60R13,BUDGET,1.000000,78.000000,348
Brand2,185,60,14,BR2/185/60R14,BUDGET,1.000000,81.000000,174
Brand2,185,60,15,BR2/185/60R15,BUDGET,1.000000,84.000000,358
Brand2,185,65,14,BR2/185/65R14,BUDGET,1.000000,82.000000,234
Brand2,195,60,14,BR2/195/60R14,BUDGET,1.000000,99.000000,358
Brand2,195,60,15,BR2/195/60R15,BUDGET,1.000000,102.000000,308
Brand2,195,60,16,BR2/195/60R16,BUDGET,1.000000,105.000000,188
Brand2,205,60,15,BR2/205/60R15,BUDGET,1.000000,120.000000,206
Brand2,205,60,16,BR2/205/60R16,BUDGET,1.000000,123.000000,360
Brand3,185,60,13,BR3/185/60R13,VALUE,1.500000,84.000000,168
Brand3,185,60,14,BR3/185/60R14,VALUE,1.500000,87.000000,126
Brand3,185,60,15,BR3/185/60R15,VALUE,1.500000,90.000000,259
Brand3,185,65,14,BR3/185/65R14,VALUE,1.500000,88.500000,130
Brand3,195,60,14,BR3/195/60R14,VALUE,1.500000,105.000000,229
Brand3,195,60,15,BR3/195/60R15,VALUE,1.500000,108.000000,219
Brand3,195,60,16,BR3/195/60R16,VALUE,1.500000,111.000000,261
Brand3,205,60,15,BR3/205/60R15,VALUE,1.500000,126.000000,123
Brand3,205,60,16,BR3/205/60R16,VALUE,1.500000,129.000000,232
Brand4,185,60,13,BR4/185/60R13,VALUE,1.500000,84.000000,265
Brand4,185,60,14,BR4/185/60R14,VALUE,1.500000,87.000000,258
Brand4,185,60,15,BR4/185/60R15,VALUE,1.500000,90.000000,178
Brand4,185,65,14,BR4/185/65R14,VALUE,1.500000,88.500000,196
Brand4,195,60,14,BR4/195/60R14,VALUE,1.500000,105.000000,229
Brand4,195,60,15,BR4/195/60R15,VALUE,1.500000,108.000000,253
Brand4,195,60,16,BR4/195/60R16,VALUE,1.500000,111.000000,237
Brand4,205,60,15,BR4/205/60R15,VALUE,1.500000,126.000000,252
Brand4,205,60,16,BR4/205/60R16,VALUE,1.500000,129.000000,129
