Equipment.Id,Equipment.Type,Month.of.Manufacture,Last Service Date,Next Service Date,Last Repair Date,Units Produced Per day,Unit Cost of Production,Engineer Assigned
"CNC_001","CNC Machine",200804.000000,2013-03-05,2013-06-03,2013-04-30,1431.000000,3.000000,"F"
"CNC_002","CNC Machine",200905.000000,2013-04-17,2013-06-21,2013-03-11,1397.000000,3.000000,"F"
"CNC_003","CNC Machine",200802.000000,2013-05-05,2013-06-05,2013-04-03,630.000000,6.000000,"F"
"CNC_004","CNC Machine",200812.000000,2013-04-21,2013-06-14,2013-03-21,1894.000000,3.000000,"F"
"CNC_005","CNC Machine",200905.000000,2013-05-03,2013-06-18,2013-04-02,245.000000,17.000000,"F"
"CNC_006","CNC Machine",200806.000000,2013-03-02,2013-06-22,2013-02-17,549.000000,6.000000,"F"
"CNC_007","CNC Machine",200809.000000,2013-05-15,2013-06-02,2013-02-14,2215.000000,2.000000,"T"
"CNC_008","CNC Machine",200808.000000,2013-02-16,2013-06-11,2013-04-24,1012.000000,3.000000,"F"
"CNC_009","CNC Machine",201002.000000,2013-02-25,2013-05-29,2013-03-29,2842.000000,2.000000,"F"
"CNC_010","CNC Machine",200808.000000,2013-03-12,2013-06-09,2013-04-04,3000.000000,1.000000,"F"
"CNC_011","CNC Machine",200710.000000,2013-03-31,2013-06-19,2013-02-10,2899.000000,1.000000,"F"
"CNC_012","CNC Machine",200812.000000,2013-03-13,2013-06-10,2013-02-23,2618.000000,3.000000,"F"
"CNC_013","CNC Machine",200701.000000,2013-03-02,2013-06-04,2013-03-01,784.000000,9.000000,"F"
"CNC_014","CNC Machine",200710.000000,2013-02-13,2013-06-15,2013-04-27,2006.000000,2.000000,"F"
"CNC_015","CNC Machine",200812.000000,2013-04-22,2013-05-27,2013-04-29,1796.000000,1.000000,"F"
"CNC_016","CNC Machine",201003.000000,2013-03-29,2013-05-31,2013-03-20,1615.000000,3.000000,"F"
"CNC_017","CNC Machine",200910.000000,2013-03-05,2013-06-14,2013-02-25,1816.000000,3.000000,"F"
"CNC_018","CNC Machine",200909.000000,2013-04-05,2013-06-19,2013-04-04,968.000000,3.000000,"F"
"CNC_019","CNC Machine",200709.000000,2013-04-16,2013-05-30,2013-04-16,1235.000000,6.000000,"F"
"CNC_020","CNC Machine",200912.000000,2013-03-12,2013-06-02,2013-03-18,2943.000000,1.000000,"F"
"CNC_021","CNC Machine",200712.000000,2013-03-16,2013-06-09,2013-05-16,2070.000000,1.000000,"F"
"CNC_022","CNC Machine",200712.000000,2013-04-27,2013-05-26,2013-03-06,2039.000000,2.000000,"F"
"CNC_023","CNC Machine",200712.000000,2013-04-10,2013-06-18,2013-03-25,2740.000000,2.000000,"F"
"CNC_024","CNC Machine",200712.000000,2013-03-13,2013-06-06,2013-03-17,945.000000,5.000000,"F"
"CNC_025","CNC Machine",200909.000000,2013-04-09,2013-06-11,2013-04-20,1482.000000,5.000000,"F"
"CNC_026","CNC Machine",200712.000000,2013-03-08,2013-06-23,2013-03-09,711.000000,7.000000,"F"
"CNC_027","CNC Machine",200712.000000,2013-04-21,2013-06-13,2013-04-19,2134.000000,1.000000,"F"
"CNC_028","CNC Machine",200712.000000,2013-03-13,2013-06-17,2013-02-19,782.000000,7.000000,"F"
"CNC_029","CNC Machine",200712.000000,2013-03-13,2013-06-23,2013-02-16,856.000000,3.000000,"F"
"CNC_030","CNC Machine",200905.000000,2013-05-07,2013-05-30,2013-04-08,123.000000,19.000000,"F"
"CNC_031","CNC Machine",200712.000000,2013-04-16,2013-06-05,2013-03-18,2030.000000,1.000000,"F"
"CNC_032","CNC Machine",200704.000000,2013-05-11,2013-05-29,2013-02-08,812.000000,8.000000,"T"
"CNC_033","CNC Machine",200712.000000,2013-04-01,2013-06-13,2013-04-20,632.000000,11.000000,"F"
"CNC_034","CNC Machine",200712.000000,2013-02-25,2013-05-28,2013-05-06,2722.000000,3.000000,"F"
"CNC_035","CNC Machine",200804.000000,2013-03-12,2013-05-25,2013-02-21,1862.000000,2.000000,"F"
"CNC_036","CNC Machine",200703.000000,2013-04-22,2013-06-06,2013-04-04,226.000000,32.000000,"F"
"CNC_037","CNC Machine",200712.000000,2013-03-27,2013-06-05,2013-04-14,2045.000000,3.000000,"F"
"CNC_038","CNC Machine",200909.000000,2013-02-22,2013-06-11,2013-03-08,1281.000000,3.000000,"F"
"CNC_039","CNC Machine",200901.000000,2013-02-27,2013-06-02,2013-04-30,642.000000,10.000000,"F"
"CNC_040","CNC Machine",200910.000000,2013-02-17,2013-06-11,2013-05-14,2546.000000,1.000000,"F"
"CNC_041","CNC Machine",200909.000000,2013-02-11,2013-05-29,2013-04-04,2463.000000,1.000000,"F"
"CNC_042","CNC Machine",200712.000000,2013-05-12,2013-06-12,2013-04-01,515.000000,13.000000,"T"
"CNC_043","CNC Machine",200807.000000,2013-02-22,2013-06-08,2013-03-13,2766.000000,2.000000,"F"
"CNC_044","CNC Machine",200712.000000,2013-04-24,2013-06-07,2013-05-05,2653.000000,2.000000,"F"
"CNC_045","CNC Machine",200806.000000,2013-03-17,2013-06-06,2013-05-03,674.000000,6.000000,"F"
"CNC_046","CNC Machine",200706.000000,2013-04-08,2013-06-08,2013-03-12,320.000000,15.000000,"F"
"CNC_047","CNC Machine",200902.000000,2013-04-10,2013-06-01,2013-05-14,221.000000,22.000000,"F"
"CNC_048","CNC Machine",200712.000000,2013-05-02,2013-06-15,2013-03-14,2195.000000,3.000000,"F"
"CNC_049","CNC Machine",200703.000000,2013-02-11,2013-06-22,2013-02-18,2873.000000,2.000000,"F"
"CNC_050","CNC Machine",200710.000000,2013-02-21,2013-06-18,2013-04-09,1031.000000,2.000000,"F"
"CNC_051","CNC Machine",200810.000000,2013-04-12,2013-06-12,2013-05-10,1042.000000,4.000000,"F"
"CNC_052","CNC Machine",200903.000000,2013-03-23,2013-06-08,2013-02-20,2572.000000,1.000000,"F"
"CNC_053","CNC Machine",200712.000000,2013-04-25,2013-06-19,2013-03-16,785.000000,5.000000,"F"
